BioProject	SRR	Type	Name	Title	Environment	Latitude_N	Longitude_W	Dataset
PRJNA375624	SRR5616380	Metagenome	CB_Sum_22_N_large_DNA	DEBay_Sum_22_N_>0.8_DNA metagenome	freshwater	39.283	75.3633	CB
PRJNA405637	SRR6048937	Metatranscriptome	CB_Fall_30_small_RNA	DEBay_Fall_30_<0.8_RNA2 metatranscriptome	freshwater	39.134	75.2287	CB
PRJNA375612	SRR5601138	Metagenome	CB_Fall_30_small_DNA	DEBay_Fall_30_<0.8_DNA metagenome	freshwater	39.134	75.2287	CB
PRJNA405635	SRR6048939	Metatranscriptome	CB_Fall_15_large_RNA1	DEBay_Fall_15_>0.8_RNA1 metatranscriptome	freshwater	39.283	75.3633	CB
PRJNA375618	SRR5602543	Metagenome	CB_Sum_0.19_D_large_DNA	DEBay_Sum_0.19_D_>0.8_DNA metagenome	freshwater	38.7788	75.009	CB
PRJNA375623	SRR5608192	Metagenome	CB_Sum_22_N_small_DNA	DEBay_Sum_22_N_<0.8_DNA metagenome	freshwater	39.283	75.3633	CB
PRJNA405650	SRR6049375	Metatranscriptome	CB_Sum_22_D_large_RNA1	DEBay_Sum_22_D_>0.8_RNA1 metatranscriptome	freshwater	39.283	75.3633	CB
PRJNA375611	SRR5600317	Metagenome	CB_Fall_15_large_DNA	DEBay_Fall_15_>0.8_DNA metagenome	freshwater	39.283	75.3633	CB
PRJNA405638	SRR6048938	Metatranscriptome	CB_Fall_30_large_RNA	DEBay_Fall_30_>0.8_RNA2 metatranscriptome	freshwater	39.134	75.2287	CB
PRJNA405634	SRR6048923	Metatranscriptome	CB_Fall_0.3_large_RNA	DEBay_Fall_0.3_>0.8_RNA1 metatranscriptome	freshwater	39.283	75.3633	CB
PRJNA405648	SRR6049370	Metatranscriptome	CB_Sum_0.19_N_small_RNA	DEBay_Sum_0.19_N_<0.8_RNA metatranscriptome	freshwater	38.7788	75.009	CB
PRJNA405652	SRR6049379	Metatranscriptome	CB_Sum_22_N_small_RNA	DEBay_Sum_22_N_<0.8_RNA1 metatranscriptome	freshwater	39.283	75.3633	CB
PRJNA405636	SRR6048962	Metatranscriptome	CB_Fall_15_large_RNA2	DEBay_Fall_15_>0.8_RNA2 metatranscriptome	freshwater	39.283	75.3633	CB
PRJNA375622	SRR5606041	Metagenome	CB_Sum_22_D_large_DNA	DEBay_Sum_22_D_>0.8_DNA metagenome	freshwater	39.283	75.3633	CB
PRJNA367189	SRR5466257	Metagenome	CB_Fall_30_large_DNA	DEBay_Fall_30_>0.8_DNA metagenome	freshwater	39.134	75.2287	CB
PRJNA405647	SRR6049377	Metatranscriptome	CB_Sum_0.19_D_large_RNA	DEBay_Sum_0.19_D_>0.8_RNA1 metatranscriptome	freshwater	38.7788	75.009	CB
PRJNA375609	SRR5597147	Metagenome	CB_Fall_0.3_large_DNA	DEBay_Fall_0.3_>0.8_DNA metagenome	freshwater	39.283	75.3633	CB
PRJNA405654	SRR6049460	Metatranscriptome	CB_Sum_22_N_large_RNA	DEBay_Sum_22_N_>0.8_RNA2 metatranscriptome	freshwater	39.283	75.3633	CB
PRJNA405651	SRR6049372	Metatranscriptome	CB_Sum_22_D_large_RNA2	DEBay_Sum_22_D_>0.8_RNA2 metatranscriptome	freshwater	39.283	75.3633	CB
PRJNA375619	SRR5604249	Metagenome	CB_Sum_0.19_N_small_DNA	DEBay_Sum_0.19_N_<0.8_DNA metagenome	freshwater	38.7788	75.009	CB
SAMN09761159	SRR7639399	Metagenome	AD_S1_2017_02_R3_DNA	SG_S1_2017_02_R3 metagenome	halite	-20.953	70.02	AD
SAMN12719724	SRR10090644	Metatranscriptome	AD_S1_2017_T2_R3_RNA	SG_S1_2017_02_R3 metatranscriptome	halite	-20.953	70.02	AD
SAMN09761160	SRR7639400	Metagenome	AD_S1_2017_02_R4_DNA	SG_S1_2017_02_R4 metagenome	halite	-20.953	70.02	AD
SAMN12719723	SRR10090645	Metatranscriptome	AD_S1_2017_T2_R4_RNA	SG_S1_2017_02_R4 metatranscriptome	halite	-20.953	70.02	AD
SAMN09761161	SRR7639421	Metagenome	AD_S1_2017_02_R5_DNA	SG_S1_2017_02_R5 metagenome	halite	-20.953	70.02	AD
SAMN12719722	SRR10090646	Metatranscriptome	AD_S1_2017_T2_R5_RNA	SG_S1_2017_02_R5 metatranscriptome	halite	-20.953	70.02	AD
SAMN09761138	SRR7639423	Metagenome	AD_S1_2016_02_R4_DNA	SG_S1_2016_02_R4 metagenome	halite	-20.953	70.02	AD
SAMN12719760	SRR10090624	Metatranscriptome	AD_S1_2016_T2_R4_RNA	SG_S1_2016_02_R4 metatranscriptome	halite	-20.953	70.02	AD
SAMN09761139	SRR7639424	Metagenome	AD_S1_2016_02_R5_DNA	SG_S1_2016_02_R5 metagenome	halite	-20.953	70.02	AD
SAMN12719759	SRR10090625	Metatranscriptome	AD_S1_2016_T2_R5_RNA	SG_S1_2016_02_R5 metatranscriptome	halite	-20.953	70.02	AD
SAMN09761157	SRR7639425	Metagenome	AD_S1_2017_02_R1_DNA	SG_S1_2017_02_R1 metagenome	halite	-20.953	70.02	AD
SAMN12719777	SRR10090642	Metatranscriptome	AD_S1_2017_T2_R1_RNA	SG_S1_2017_02_R1 metatranscriptome	halite	-20.953	70.02	AD
SAMN09761158	SRR7639426	Metagenome	AD_S1_2017_02_R2_DNA	SG_S1_2017_02_R2 metagenome	halite	-20.953	70.02	AD
SAMN12719725	SRR10090643	Metatranscriptome	AD_S1_2017_T2_R2_RNA	SG_S1_2017_02_R2 metatranscriptome	halite	-20.953	70.02	AD
SAMN09761137	SRR7639427	Metagenome	AD_S1_2016_02_R3_DNA	SG_S1_2016_02_R3 metagenome	halite	-20.953	70.02	AD
SAMN12719761	SRR10090623	Metatranscriptome	AD_S1_2016_T2_R3_RNA	SG_S1_2016_02_R3 metatranscriptome	halite	-20.953	70.02	AD
