srna_id	srna_log2fc	srna_direction	pathway_id	pathway_log2fc	pathway_direction	consistent
STRG.1853		ns	PWY0-1479	-4.938307498470814	down	False
STRG.2301		ns	TRNA-CHARGING-PWY	-4.47550630650753	down	False
STRG.1546		ns	PWY0-1479	-4.938307498470814	down	False
STRG.4979		ns	PWY-2221	-2.052829915478932	down	False
STRG.4979		ns	PWY66-389	-0.10275092451381203	ns	False
STRG.4979		ns	PWY-7431	-2.6277306559979783	down	False
STRG.4979		ns	PWY-6313	-3.0393610030787848	down	False
STRG.11836		ns	PWY-3841	-1.4161721427631824	down	False
STRG.11836		ns	SER-GLYSYN-PWY	-0.6140742515791251	down	False
STRG.11836		ns	1CMET2-PWY	-1.3492485637682166	down	False
STRG.11836		ns	PWY-181	-3.69159046935827	down	False
STRG.11836		ns	PWY-2201	-2.1978745626862617	down	False
STRG.2646	-0.269648910910311	ns	PWY-6125	-0.7376432860108826	down	False
STRG.2646	-0.269648910910311	ns	URSIN-PWY	-1.7442299580160947	down	False
STRG.2646	-0.269648910910311	ns	PWY66-409	-4.442841110837537	down	False
STRG.2646	-0.269648910910311	ns	PWY-5695	-2.1402260305773084	down	False
STRG.2646	-0.269648910910311	ns	PWY-7228	0.10309558357469097	ns	False
STRG.2646	-0.269648910910311	ns	PWY-841	-4.4804710005149975	down	False
STRG.2646	-0.269648910910311	ns	PWY-7221	-0.08448459185594867	ns	False
STRG.2646	-0.269648910910311	ns	PWY-6596	-1.3646055347022734	down	False
STRG.2646	-0.269648910910311	ns	PWY-6353	-3.581581467030149	down	False
STRG.1978		ns	PWY0-1479	-4.938307498470814	down	False
STRG.4446		ns	PWY0-1586	-3.448045504129271	down	False
STRG.9293		ns	GLYCOLYSIS-E-D	-3.4304023205823846	down	False
STRG.9293		ns	P185-PWY	-4.068045978179151	down	False
STRG.9293		ns	GLUCONEO-PWY	-1.761874118550172	down	False
STRG.9293		ns	GLYCOLYSIS	-2.979632622393318	down	False
STRG.9293		ns	PWY-7218	-1.6683297705978308	down	False
STRG.9293		ns	GLYCOLYSIS-TCA-GLYOX-BYPASS	-4.270167029935687	down	False
STRG.9293		ns	PWY-5484	-3.0234866016901507	down	False
STRG.9293		ns	ANAEROFRUCAT-PWY	-2.322321630492529	down	False
STRG.9293		ns	SUCSYN-PWY	-3.263324873925273	down	False
STRG.9293		ns	PWY-1042	-1.7418322324436826	down	False
STRG.9293		ns	PWY-7124	-3.6835964879139422	down	False
STRG.9293		ns	PWY-5464	-5.178373282028669	down	False
STRG.9293		ns	PWY66-399	-2.3196135372829536	down	False
STRG.9293		ns	CALVIN-PWY	-2.430594817608508	down	False
STRG.9293		ns	ANAGLYCOLYSIS-PWY	-3.1670119656635425	down	False
STRG.9293		ns	PWY-8178	-4.176267740607627	down	False
STRG.9293		ns	PHOTOALL-PWY	-2.7155320260941025	down	False
STRG.629		ns	PWY0-1479	-4.938307498470814	down	False
STRG.8460		ns	PWY-7117	-2.843116007170892	down	False
STRG.8460		ns	PWY-7124	-3.6835964879139422	down	False
STRG.8460		ns	PWY-5913	-2.0003857317506735	down	False
STRG.8460		ns	P23-PWY	-1.9574821888362621	down	False
STRG.8460		ns	PWY-6549	-0.43056607904399113	ns	False
STRG.8460		ns	FERMENTATION-PWY	-1.0575378681247913	down	False
STRG.8460		ns	PWY-241	1.509328207353572	up	False
STRG.902		ns	PWY0-1586	-3.448045504129271	down	False
STRG.678		ns	SER-GLYSYN-PWY	-0.6140742515791251	down	False
STRG.678		ns	SULFATE-CYS-PWY	-0.9768512945933191	down	False
STRG.9593		ns	PWY-6125	-0.7376432860108826	down	False
STRG.9593		ns	URSIN-PWY	-1.7442299580160947	down	False
STRG.9593		ns	PWY66-409	-4.442841110837537	down	False
STRG.9593		ns	PWY-5695	-2.1402260305773084	down	False
STRG.9593		ns	PWY-7228	0.10309558357469097	ns	False
STRG.9593		ns	PWY-841	-4.4804710005149975	down	False
STRG.9593		ns	PWY-7221	-0.08448459185594867	ns	False
STRG.9593		ns	PWY-6596	-1.3646055347022734	down	False
STRG.9593		ns	PWY-6353	-3.581581467030149	down	False
STRG.2574		ns	PWY0-1479	-4.938307498470814	down	False
STRG.1986		ns	PWY-6125	-0.7376432860108826	down	False
STRG.1986		ns	URSIN-PWY	-1.7442299580160947	down	False
STRG.1986		ns	PWY66-409	-4.442841110837537	down	False
STRG.1986		ns	PWY-5695	-2.1402260305773084	down	False
STRG.1986		ns	PWY-7228	0.10309558357469097	ns	False
STRG.1986		ns	PWY-841	-4.4804710005149975	down	False
STRG.1986		ns	PWY-7221	-0.08448459185594867	ns	False
STRG.1986		ns	PWY-6596	-1.3646055347022734	down	False
