pathway_id	pathway_name	sample_id	condition	abundance_rna	abundance_dna	log2fc	p_value	padj	direction
1CMET2-PWY	folate transformations III (E. coli)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	54.628659096499995	1408.3981377844198	-1.3492485637682166	0.36601362040001917	0.5025550622312621	down
ANAEROFRUCAT-PWY	homolactic fermentation	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1137.43761380912	-2.322321630492529	0.4502803652033935	0.5714217832530374	down
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	44.369509618100004	1818.05240383346	-3.1670119656635425	0.16814989801540434	0.5025550622312621	down
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	86.19570050443	-2.4611735611206775	0.373900966300059	0.5025550622312621	down
ARGININE-SYN4-PWY	L-ornithine biosynthesis II	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	519.0322634245799	-1.0767447807169221	0.373900966300059	0.5025550622312621	down
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	26.537169353899998	1825.71603775744	-1.9513312036160095	0.2695072512050009	0.5025550622312621	down
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	24.9164259733	1719.1373428046602	-4.458808579966654	0.16797841270792532	0.5025550622312621	down
ARO-PWY	chorismate biosynthesis I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	75.1609377127	1483.4794307087602	-1.800214630272242	0.04764605695088509	0.5025550622312621	down
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	418.38424380613	-2.8247427112640615	0.2039475575457002	0.5025550622312621	down
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	121.3019667783	2772.7797758157303	-0.25370545516325643	0.6920070942618324	0.762122350508626	ns
CALVIN-PWY	Calvin-Benson-Bassham cycle	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1136.1206170177798	-2.430594817608508	0.1555323741515823	0.5025550622312621	down
CENTFERM-PWY	pyruvate fermentation to butanoate	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	37.9660927732	904.25753031834	-4.410605202867076	0.11517784718537732	0.5025550622312621	down
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	19.744313208	204.97909711321	-4.078103768294707	0.24266992385613778	0.5025550622312621	down
CITRULBIO-PWY	L-citrulline biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	23.6733368823	707.73708012581	-2.546300734699524	0.13651219901527956	0.5025550622312621	down
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	45.54120224020001	1136.02759015774	-0.4171176789982627	0.6975464978247256	0.7630712728049273	ns
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	56.0792500414	1372.0404738503498	-0.16633943351213654	0.7907203094757745	0.8305885603737128	ns
COLANSYN-PWY	colanic acid building blocks biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	21.9337746112	572.7346162232	-4.091293936877633	0.23149352657374034	0.5025550622312621	down
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	58.9567194755	1479.60800095227	-1.5295498045766385	0.22542396243783272	0.5025550622312621	down
DAPLYSINESYN-PWY	L-lysine biosynthesis I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1050.3463860885502	-2.7531392918600406	0.3739009663000589	0.5025550622312621	down
DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	55.87120578930001	1113.70865180056	-3.809418499794388	0.09976617866337001	0.5025550622312621	down
FAO-PWY	fatty acid &beta;-oxidation I (generic)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1906.34738925538	-1.0281313548750577	0.6307962963595826	0.726723843732238	down
