srna_id	sample_id	condition	present
STRG.10267	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1029	AD_S1_2016_T2_R1_RNA	dry	1
STRG.10408	AD_S1_2016_T2_R1_RNA	dry	1
STRG.10421	AD_S1_2016_T2_R1_RNA	dry	1
STRG.10650	AD_S1_2016_T2_R1_RNA	dry	1
STRG.10691	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1084	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1113	AD_S1_2016_T2_R1_RNA	dry	1
STRG.11238	AD_S1_2016_T2_R1_RNA	dry	1
STRG.11638	AD_S1_2016_T2_R1_RNA	dry	1
STRG.11836	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1292	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1355	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1361	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1376	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1444	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1481	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1511	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1695	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1756	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1783	AD_S1_2016_T2_R1_RNA	dry	0
STRG.1818	AD_S1_2016_T2_R1_RNA	dry	1
STRG.196	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1994	AD_S1_2016_T2_R1_RNA	dry	1
STRG.1997	AD_S1_2016_T2_R1_RNA	dry	1
STRG.2035	AD_S1_2016_T2_R1_RNA	dry	1
STRG.2059	AD_S1_2016_T2_R1_RNA	dry	1
STRG.208	AD_S1_2016_T2_R1_RNA	dry	1
STRG.2097	AD_S1_2016_T2_R1_RNA	dry	1
STRG.2121	AD_S1_2016_T2_R1_RNA	dry	1
STRG.2134	AD_S1_2016_T2_R1_RNA	dry	1
STRG.2215	AD_S1_2016_T2_R1_RNA	dry	1
